name,street_address,google_map,review_count,phone,restaurant_type,price_range,restaurant_main_type,latitude,longitude,review_type,review_score
Smoke Jazz and Supper Club,"2751 Broadway New York, NY  10025",//www.google.com/maps/search/?api=1&query=40.8012200%2C-73.968013,2155,(212) 864-6662,Contemporary American,$31 to $50,Contemporary American,40.8011258,-73.9681923,average_review,4.42155
Smoke Jazz and Supper Club,"2751 Broadway New York, NY  10025",//www.google.com/maps/search/?api=1&query=40.8012200%2C-73.968013,2155,(212) 864-6662,Contemporary American,$31 to $50,Contemporary American,40.8011258,-73.9681923,food_review,3.9
Smoke Jazz and Supper Club,"2751 Broadway New York, NY  10025",//www.google.com/maps/search/?api=1&query=40.8012200%2C-73.968013,2155,(212) 864-6662,Contemporary American,$31 to $50,Contemporary American,40.8011258,-73.9681923,service_review,4.2
Smoke Jazz and Supper Club,"2751 Broadway New York, NY  10025",//www.google.com/maps/search/?api=1&query=40.8012200%2C-73.968013,2155,(212) 864-6662,Contemporary American,$31 to $50,Contemporary American,40.8011258,-73.9681923,ambience_review,4.5
Smoke Jazz and Supper Club,"2751 Broadway New York, NY  10025",//www.google.com/maps/search/?api=1&query=40.8012200%2C-73.968013,2155,(212) 864-6662,Contemporary American,$31 to $50,Contemporary American,40.8011258,-73.9681923,value_review,4
Tavern on the Green,"1 Tavern on the Green New York, NY  10023",//www.google.com/maps/search/?api=1&query=40.7723930%2C-73.97862,7029,(212) 877-8684,American,$31 to $50,American,40.7721869,-73.9777215,average_review,4.67029
Tavern on the Green,"1 Tavern on the Green New York, NY  10023",//www.google.com/maps/search/?api=1&query=40.7723930%2C-73.97862,7029,(212) 877-8684,American,$31 to $50,American,40.7721869,-73.9777215,food_review,4.4
Tavern on the Green,"1 Tavern on the Green New York, NY  10023",//www.google.com/maps/search/?api=1&query=40.7723930%2C-73.97862,7029,(212) 877-8684,American,$31 to $50,American,40.7721869,-73.9777215,service_review,4.4
Tavern on the Green,"1 Tavern on the Green New York, NY  10023",//www.google.com/maps/search/?api=1&query=40.7723930%2C-73.97862,7029,(212) 877-8684,American,$31 to $50,American,40.7721869,-73.9777215,ambience_review,4.7
Tavern on the Green,"1 Tavern on the Green New York, NY  10023",//www.google.com/maps/search/?api=1&query=40.7723930%2C-73.97862,7029,(212) 877-8684,American,$31 to $50,American,40.7721869,-73.9777215,value_review,4
ABC Kitchen,"35 East 18th Street New York, NY  10003",//www.google.com/maps/search/?api=1&query=40.7377830%2C-73.989714,6031,(212) 475-5829,Contemporary American,$31 to $50,Contemporary American,40.7378971,-73.9894995,average_review,4.76031
ABC Kitchen,"35 East 18th Street New York, NY  10003",//www.google.com/maps/search/?api=1&query=40.7377830%2C-73.989714,6031,(212) 475-5829,Contemporary American,$31 to $50,Contemporary American,40.7378971,-73.9894995,food_review,4.6
ABC Kitchen,"35 East 18th Street New York, NY  10003",//www.google.com/maps/search/?api=1&query=40.7377830%2C-73.989714,6031,(212) 475-5829,Contemporary American,$31 to $50,Contemporary American,40.7378971,-73.9894995,service_review,4.4
ABC Kitchen,"35 East 18th Street New York, NY  10003",//www.google.com/maps/search/?api=1&query=40.7377830%2C-73.989714,6031,(212) 475-5829,Contemporary American,$31 to $50,Contemporary American,40.7378971,-73.9894995,ambience_review,4.6
ABC Kitchen,"35 East 18th Street New York, NY  10003",//www.google.com/maps/search/?api=1&query=40.7377830%2C-73.989714,6031,(212) 475-5829,Contemporary American,$31 to $50,Contemporary American,40.7378971,-73.9894995,value_review,4.1
Catch New York,"21 Ninth Avenue New York, NY  10014",//www.google.com/maps/search/?api=1&query=40.7400440%2C-74.006049,4830,(212) 392-5978,Seafood,$31 to $50,Seafood,40.7402272,-74.0063403,average_review,4.5483
Catch New York,"21 Ninth Avenue New York, NY  10014",//www.google.com/maps/search/?api=1&query=40.7400440%2C-74.006049,4830,(212) 392-5978,Seafood,$31 to $50,Seafood,40.7402272,-74.0063403,food_review,4.6
Catch New York,"21 Ninth Avenue New York, NY  10014",//www.google.com/maps/search/?api=1&query=40.7400440%2C-74.006049,4830,(212) 392-5978,Seafood,$31 to $50,Seafood,40.7402272,-74.0063403,service_review,4.2
Catch New York,"21 Ninth Avenue New York, NY  10014",//www.google.com/maps/search/?api=1&query=40.7400440%2C-74.006049,4830,(212) 392-5978,Seafood,$31 to $50,Seafood,40.7402272,-74.0063403,ambience_review,4.4
