name,street_address,google_map,review_count,phone,website,restaurant_type,average_review,food_review,service_review,ambience_review,value_review,price_range,star_1,star_2,star_3,star_4,star_5,description,restaurant_main_type,latitude,longitude,postal_code
Smoke Jazz and Supper Club,"2751 Broadway New York, NY  10025",//www.google.com/maps/search/?api=1&query=40.8012200%2C-73.968013,2155,(212) 864-6662,http://www.smokejazz.com/,Contemporary American,4.42155,3.9,4.2,4.5,4,$31 to $50,2,7,5,24,62,Smoke has augmented its reputation as one of Manhattan’s most distinguished jazz venues with an addition very uncommon to jazz clubs—great food. Smoke serves innovative American Bistro fare developed by critically acclaimed executive chef Patricia Wi,Contemporary American,40.8011258,-73.9681923,10025
Tavern on the Green,"1 Tavern on the Green New York, NY  10023",//www.google.com/maps/search/?api=1&query=40.7723930%2C-73.97862,7029,(212) 877-8684,http://www.tavernonthegreen.com/,American,4.67029,4.4,4.4,4.7,4,$31 to $50,1,2,6,19,72,"Magical is a word thrown around a lot when discussing Tavern On The Green and one can’t help but feel magic in the air.  Jim and David, architect Richard Lewis and landscape architect Robin Key, preserved the Victorian/ Gothic elegance of the semi-circ",American,40.7721869,-73.9777215,10023
ABC Kitchen,"35 East 18th Street New York, NY  10003",//www.google.com/maps/search/?api=1&query=40.7377830%2C-73.989714,6031,(212) 475-5829,http://www.abckitchennyc.com/,Contemporary American,4.76031,4.6,4.4,4.6,4.1,$31 to $50,1,2,5,15,77,ABC Kitchen with Jean-Georges: passionately committed to offering the freshest organic and local ingredients possible.ABC Kitchen presents a changing menu that is locally sourced and globally artistic in a fresh and articulate space.,Contemporary American,40.7378971,-73.9894995,10003
Catch New York,"21 Ninth Avenue New York, NY  10014",//www.google.com/maps/search/?api=1&query=40.7400440%2C-74.006049,4830,(212) 392-5978,http://www.catchhg.com/,Seafood,4.5483,4.6,4.2,4.4,4,$31 to $50,3,2,6,15,74,"CATCH features contemporary renditions of classic seafood dishes that are both sophisticated and approachable. Surprising the palette in the bright and clean complexity of each plate, this 2 floor, 275 seat restaurant offers a variety of unique dining ex",Seafood,40.7402272,-74.0063403,10014
Becco,"355 West 46th Street New York, NY  10010",//www.google.com/maps/search/?api=1&query=40.7604440%2C-73.989473,18139,(212) 397-7597,http://www.becco-nyc.com/,Italian,4.418139,4.4,4.4,4.1,4.3,$30 and under,1,3,9,27,60,"Lidia Bastianich & her son Joe's Theater District mainstay. Best known for the $22.95 pasta tasting menu & the great selections on the $29 Italian wine list. Loved by locals & out of towners alike, Becco has been serving consistently delicious regional I",Italian,40.760804,-73.9898324,10010
Estiatorio Milos - NY,"125 West 55th Street New York, NY  10019",//www.google.com/maps/search/?api=1&query=40.7634560%2C-73.978894,4404,(212) 245-7400,http://www.estiatoriomilos.com/,Seafood,4.84404,4.8,4.6,4.6,4.2,$50 and over,1,1,3,14,81,"The freshest, most flavorful fish, vegetables / fruits, prepared in the subtlest way and served in an elegant, spacious setting, is why Milo's has become of one of New York's most lauded restaurant. Costas Spiliadis, owner/chef, is continuing the standar",Seafood,40.763598,-73.9789514,10019
Tao Uptown,"42 East 58th Street New York, NY  10022",//www.google.com/maps/search/?api=1&query=40.7626390%2C-73.97163,10600,(212) 888-2288,http://www.taorestaurant.com/,Asian,4.6106,4.5,4.4,4.6,4.1,$31 to $50,1,2,7,21,69,"A 16-foot Buddha, which floats above a reflecting pool filled with Japanese carp, presides over the scene at Tao. A favorite destination for celebrities and athletes, this Pan Asian restaurant specializes in authentic Hong Kong Chinese, Japanese and Thai",Asian,40.7626068,-73.9714784,10022
Red Rooster Harlem,"310 Lenox Avenue New York, NY  10027",//www.google.com/maps/search/?api=1&query=40.8081470%2C-73.944909,5682,(212) 792-9001,http://redroosterharlem.com/,Southern,4.45682,4.4,4.2,4.4,4,$31 to $50,2,3,10,24,61,"Located in the heart of Harlem, Red Rooster serves comfort food celebrating the roots of American cuisine and the diverse culinary traditions of the neighborhood. Named in honor of the legendary Harlem speakeasy, Chef Marcus Samuelsson brings his passion",Other,40.8080566,-73.9449139,10027
Del Frisco's Double Eagle Steak House - New York City,"1221 Avenue of the Americas New York, NY  10020",//www.google.com/maps/search/?api=1&query=40.7591640%2C-73.981365,7225,(212) 575-5129,http://delfriscos.com/,Steakhouse,4.77225,4.6,4.7,4.5,4,$50 and over,1,2,5,16,76,"A midtown classic with sprawling views of the NYC.  Located in the heart of Midtown, this steakhouse offers incredible service and great food in a beautiful three level space.  Known for having one of the city's best wine lists and bar scenes, Del Frisco",Steakhouse,40.7594248,-73.9822224,10020
FIG & OLIVE Fifth Avenue,"10 East 52nd Street New York, NY  10021",//www.google.com/maps/search/?api=1&query=40.7595440%2C-73.975721,7186,(212) 319-2002,http://www.figandolive.com/,Mediterranean,4.57186,4.5,4.3,4.2,4,$31 to $50,1,3,7,25,64,"FIG & OLIVE is about passion for the best olive oils, flavors and cuisine from the Riviera & Coastal regions of the South of France, Italy and Spain. It is a full service restaurant featuring lunch, brunch and dinner menus. The exceptional wine list incl",Mediterranean,40.7592803,-73.9756337,10021
